species_id,common_name,scientific_name,category,feeding_source,feeding_confidence,feeding_uses_template,feeding_needs_review,feeding_review_reason,feeding_source_url,feeding_source_fields,housing_mode,housing_reason,housing_reason_shared_count,housing_only_category_reference,missing_species_specific_care
sp_0011,月光鱼,Xiphophorus maculatus,鱼类,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Xiphophorus+maculatus+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情相对温和，可与体型接近、水质需求相同的温和物种混养；仍需避免过密饲养和体型差异过大。,86,yes,no
sp_0012,樱桃灯,Puntius titteya,灯科鱼,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Puntius+titteya+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情通常温和，适合与体型接近、水温和 pH 区间重叠的温和鱼群混养；群游鱼建议成群饲养。,44,yes,no
sp_0013,小精灵,Otocinclus vittatus,鲶鱼/异型,aquapedia_master_v2.csv+rules+aquapedia_supplement+algae_grazer_template,0.84,yes,yes,特殊喂养关键词已抽取为提示，建议抽查,https://www.google.com/search?q=Otocinclus+vittatus+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情通常温和，适合与体型接近、水温和 pH 区间重叠的温和鱼群混养；群游鱼建议成群饲养。,44,yes,yes
sp_0014,咖啡鼠,Corydoras aeneus,鲶鱼/异型,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Corydoras+aeneus+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情通常温和，适合与体型接近、水温和 pH 区间重叠的温和鱼群混养；群游鱼建议成群饲养。,44,yes,no
sp_0015,接吻鱼,Helostoma temminkii,鱼类,aquapedia_master_v2.csv+rules+category_feeding_template,0.82,yes,no,,https://www.google.com/search?q=Helostoma+temminkii+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,有一定领地意识，混养时需要足够空间、躲避物，并避免与同体型同习性的鱼过密饲养。,57,yes,yes
sp_0016,金波子,Mikrogeophagus ramirezi var. Gold,慈鲷/斗鱼,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Mikrogeophagus+ramirezi+var.+Gold+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",建议单养,斗鱼有明显领地意识，同类或长鳍鱼混养容易追咬；新手更适合单独饲养或非常谨慎搭配底栖温和生物。,47,yes,no
sp_0017,阿卡西短鲷,Apistogramma agassizii,慈鲷/斗鱼,aquapedia_master_v2.csv+rules+local_note_extraction,0.84,no,no,,https://www.google.com/search?q=Apistogramma+agassizii+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",建议单养,斗鱼有明显领地意识，同类或长鳍鱼混养容易追咬；新手更适合单独饲养或非常谨慎搭配底栖温和生物。,47,yes,no
sp_0018,蓝王子,Chindongo socolofi,慈鲷/斗鱼,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Chindongo+socolofi+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",建议单养,斗鱼有明显领地意识，同类或长鳍鱼混养容易追咬；新手更适合单独饲养或非常谨慎搭配底栖温和生物。,47,yes,no
sp_0019,埃及神仙,Pterophyllum altum,慈鲷/斗鱼,aquapedia_master_v2.csv+aquapedia_supplement,0.91,no,no,,https://www.google.com/search?q=Pterophyllum+altum+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",建议单养,斗鱼有明显领地意识，同类或长鳍鱼混养容易追咬；新手更适合单独饲养或非常谨慎搭配底栖温和生物。,47,yes,no
sp_0020,刚果美人,Phenacogrammus interruptus,鱼类,aquapedia_master_v2.csv+rules+category_feeding_template,0.82,yes,no,,https://www.google.com/search?q=Phenacogrammus+interruptus+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情相对温和，可与体型接近、水质需求相同的温和物种混养；仍需避免过密饲养和体型差异过大。,86,yes,yes
sp_0021,迷你鹦鹉鱼,Amatitlania nigrofasciata var.,慈鲷/斗鱼,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Amatitlania+nigrofasciata+var.+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",建议单养,斗鱼有明显领地意识，同类或长鳍鱼混养容易追咬；新手更适合单独饲养或非常谨慎搭配底栖温和生物。,47,yes,no
sp_0022,红利,Lutjanus kasmira,海水鱼,aquapedia_master_v2.csv+rules+aquapedia_supplement+marine_feeding_template,0.81,yes,yes,特殊喂养关键词已抽取为提示，建议抽查,https://www.google.com/search?q=Lutjanus+kasmira+LiveAquaria+diet,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,海水生物需要稳定盐度和成熟系统；鱼、珊瑚、海葵之间存在捕食、蛰伤或领地风险，需要按珊瑚缸兼容性搭配。,66,yes,yes
sp_0023,黄倒吊,Zebrasoma flavescens,海水鱼,aquapedia_master_v2.csv+aquapedia_supplement,0.96,no,no,,https://www.google.com/search?q=Zebrasoma+flavescens+LiveAquaria+diet,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,海水生物需要稳定盐度和成熟系统；鱼、珊瑚、海葵之间存在捕食、蛰伤或领地风险，需要按珊瑚缸兼容性搭配。,66,yes,no
sp_0024,蓝倒吊,Paracanthurus hepatus,海水鱼,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Paracanthurus+hepatus+LiveAquaria+diet,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,海水生物需要稳定盐度和成熟系统；鱼、珊瑚、海葵之间存在捕食、蛰伤或领地风险，需要按珊瑚缸兼容性搭配。,66,yes,no
sp_0025,泗水玫瑰,Pterapogon kauderni,海水鱼,aquapedia_master_v2.csv+rules+marine_feeding_template,0.81,yes,yes,存在特殊喂养关键词,https://www.google.com/search?q=Pterapogon+kauderni+LiveAquaria+diet,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,海水生物需要稳定盐度和成熟系统；鱼、珊瑚、海葵之间存在捕食、蛰伤或领地风险，需要按珊瑚缸兼容性搭配。,66,yes,yes
sp_0026,清道夫,Hypostomus plecostomus,鲶鱼/异型,aquapedia_master_v2.csv,0.92,no,no,,https://www.google.com/search?q=Hypostomus+plecostomus+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,有一定领地意识，混养时需要足够空间、躲避物，并避免与同体型同习性的鱼过密饲养。,57,yes,no
sp_0027,极火虾,Neocaridina davidi var. Red,虾螺蟹,rule_fallback,0.78,yes,yes,未匹配到物种专属喂养资料，当前仅提供类别通用参考,,,谨慎混养,虾螺蟹通常性情温和，但可能被中大型鱼或肉食鱼捕食；也要避免铜药和会夹鱼的蟹类。,41,yes,yes
sp_0028,水晶虾,Caridina cantonensis var.,虾螺蟹,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Caridina+cantonensis+var.+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,虾螺蟹通常性情温和，但可能被中大型鱼或肉食鱼捕食；也要避免铜药和会夹鱼的蟹类。,41,yes,no
sp_0029,苏拉威西虾,Caridina dennerli,虾螺蟹,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Caridina+dennerli+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,虾螺蟹通常性情温和，但可能被中大型鱼或肉食鱼捕食；也要避免铜药和会夹鱼的蟹类。,41,yes,no
sp_0030,黄金米虾,Neocaridina davidi var. Yellow,虾螺蟹,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Neocaridina+davidi+var.+Yellow+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,虾螺蟹通常性情温和，但可能被中大型鱼或肉食鱼捕食；也要避免铜药和会夹鱼的蟹类。,41,yes,no
sp_0031,蓝丝绒米虾,Neocaridina davidi var. Blue,虾螺蟹,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Neocaridina+davidi+var.+Blue+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,虾螺蟹通常性情温和，但可能被中大型鱼或肉食鱼捕食；也要避免铜药和会夹鱼的蟹类。,41,yes,no
sp_0032,洋葱螺,Vittina turrita,虾螺蟹,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Vittina+turrita+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,虾螺蟹通常性情温和，但可能被中大型鱼或肉食鱼捕食；也要避免铜药和会夹鱼的蟹类。,41,yes,no
sp_0033,角螺,Clithon corona,虾螺蟹,rule_fallback,0.78,yes,yes,未匹配到物种专属喂养资料，当前仅提供类别通用参考,,,谨慎混养,虾螺蟹通常性情温和，但可能被中大型鱼或肉食鱼捕食；也要避免铜药和会夹鱼的蟹类。,41,yes,yes
sp_0034,兔螺,Tylomelania sp.,虾螺蟹,aquapedia_master_v2.csv+rules+category_feeding_template,0.82,yes,no,,https://www.google.com/search?q=Tylomelania+sp.+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,虾螺蟹通常性情温和，但可能被中大型鱼或肉食鱼捕食；也要避免铜药和会夹鱼的蟹类。,41,yes,yes
sp_0035,恶魔蟹,Geosesarma dennerle,虾螺蟹,aquapedia_master_v2.csv+rules+category_feeding_template,0.82,yes,no,,https://www.google.com/search?q=Geosesarma+dennerle+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,虾螺蟹通常性情温和，但可能被中大型鱼或肉食鱼捕食；也要避免铜药和会夹鱼的蟹类。,41,yes,yes
sp_0036,豹点螺,Neritina turrita var.,虾螺蟹,aquapedia_master_v2.csv,0.92,no,no,,https://www.google.com/search?q=Neritina+turrita+var.+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,虾螺蟹通常性情温和，但可能被中大型鱼或肉食鱼捕食；也要避免铜药和会夹鱼的蟹类。,41,yes,no
sp_0037,大鳍鱊,Acheilognathus macropterus,鱼类,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Acheilognathus+macropterus+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情相对温和，可与体型接近、水质需求相同的温和物种混养；仍需避免过密饲养和体型差异过大。,86,yes,no
sp_0038,马口鱼,Opsariichthys bidens,鱼类,rule_fallback,0.74,yes,yes,未匹配到物种专属喂养资料，当前仅提供类别通用参考,,,建议单养,性情偏凶或捕食倾向明显，和温和小型鱼混养容易造成追咬、压迫或吞食。,23,yes,yes
sp_0039,方氏拟腹吸鳅,Pseudogastromyzon fangi,鱼类,aquapedia_master_v2.csv+rules+category_feeding_template,0.82,yes,no,,https://www.google.com/search?q=Pseudogastromyzon+fangi+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情相对温和，可与体型接近、水质需求相同的温和物种混养；仍需避免过密饲养和体型差异过大。,86,yes,yes
sp_0040,中华花鳅,Cobitis sinensis,鱼类,aquapedia_master_v2.csv+rules+category_feeding_template,0.82,yes,no,,https://www.google.com/search?q=Cobitis+sinensis+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情相对温和，可与体型接近、水质需求相同的温和物种混养；仍需避免过密饲养和体型差异过大。,86,yes,yes
sp_0041,棒花鱼,Abbottina rivularis,鱼类,aquapedia_master_v2.csv,0.92,no,no,,https://www.google.com/search?q=Abbottina+rivularis+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情相对温和，可与体型接近、水质需求相同的温和物种混养；仍需避免过密饲养和体型差异过大。,86,yes,no
sp_0042,麦穗鱼,Pseudorasbora parva,鱼类,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Pseudorasbora+parva+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,有一定领地意识，混养时需要足够空间、躲避物，并避免与同体型同习性的鱼过密饲养。,57,yes,no
sp_0043,圆尾斗鱼,Macropodus ocellatus,慈鲷/斗鱼,aquapedia_master_v2.csv+rules+betta_feeding_template,0.84,yes,yes,存在特殊喂养关键词,https://www.google.com/search?q=Macropodus+ocellatus+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",建议单养,斗鱼有明显领地意识，同类或长鳍鱼混养容易追咬；新手更适合单独饲养或非常谨慎搭配底栖温和生物。,47,yes,yes
sp_0044,黑叉尾斗鱼,Macropodus spechti,慈鲷/斗鱼,aquapedia_master_v2.csv+rules+betta_feeding_template,0.84,yes,yes,存在特殊喂养关键词,https://www.google.com/search?q=Macropodus+spechti+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",建议单养,斗鱼有明显领地意识，同类或长鳍鱼混养容易追咬；新手更适合单独饲养或非常谨慎搭配底栖温和生物。,47,yes,yes
sp_0045,越南爬岩鳅,Sewellia lineolata,鱼类,aquapedia_master_v2.csv+rules+category_feeding_template,0.82,yes,no,,https://www.google.com/search?q=Sewellia+lineolata+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情相对温和，可与体型接近、水质需求相同的温和物种混养；仍需避免过密饲养和体型差异过大。,86,yes,yes
sp_0046,中华细鲫,Aphyocypris chinensis,鱼类,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Aphyocypris+chinensis+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情相对温和，可与体型接近、水质需求相同的温和物种混养；仍需避免过密饲养和体型差异过大。,86,yes,no
sp_0047,长臀鮠,Pseudobagrus fulvidraco,鱼类,aquapedia_master_v2.csv+rules+predatory_fish_template,0.82,yes,yes,特殊喂养关键词已抽取为提示，建议抽查,https://www.google.com/search?q=Pseudobagrus+fulvidraco+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",建议单养,性情偏凶或捕食倾向明显，和温和小型鱼混养容易造成追咬、压迫或吞食。,23,yes,yes
sp_0048,大刺鳅,Mastacembelus armatus,鱼类,aquapedia_master_v2.csv+rules+predatory_fish_template,0.82,yes,yes,特殊喂养关键词已抽取为提示，建议抽查,https://www.google.com/search?q=Mastacembelus+armatus+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",建议单养,性情偏凶或捕食倾向明显，和温和小型鱼混养容易造成追咬、压迫或吞食。,23,yes,yes
sp_0049,珍珠赤雷龙,Channa asiatica,鱼类,aquapedia_master_v2.csv+rules+predatory_fish_template,0.82,yes,yes,存在特殊喂养关键词,https://www.google.com/search?q=Channa+asiatica+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",建议单养,性情偏凶或捕食倾向明显，和温和小型鱼混养容易造成追咬、压迫或吞食。,23,yes,yes
sp_0050,巴卡雷龙,Channa barca,鱼类,aquapedia_master_v2.csv+rules+predatory_fish_template,0.82,yes,yes,存在特殊喂养关键词,https://www.google.com/search?q=Channa+barca+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",建议单养,性情偏凶或捕食倾向明显，和温和小型鱼混养容易造成追咬、压迫或吞食。,23,yes,yes
sp_0051,光唇鱼,Acrossocheilus fasciatus,鱼类,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Acrossocheilus+fasciatus+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,有一定领地意识，混养时需要足够空间、躲避物，并避免与同体型同习性的鱼过密饲养。,57,yes,no
sp_0052,月光鼠,Corydoras hastatus,鲶鱼/异型,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Corydoras+hastatus+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情通常温和，适合与体型接近、水温和 pH 区间重叠的温和鱼群混养；群游鱼建议成群饲养。,44,yes,no
sp_0053,精灵鼠,Corydoras pygmaeus,鲶鱼/异型,aquapedia_master_v2.csv,0.92,no,no,,https://www.google.com/search?q=Corydoras+pygmaeus+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情通常温和，适合与体型接近、水温和 pH 区间重叠的温和鱼群混养；群游鱼建议成群饲养。,44,yes,no
sp_0054,红宝石鱼,Hemichromis bimaculatus,硬景/底床,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Hemichromis+bimaculatus+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,属于造景或植物类，不会主动攻击鱼虾；主要注意光照、底床和是否会被草食性鱼啃食。,49,yes,no
sp_0055,金刚鹦鹉鱼,Cichlasoma var.,慈鲷/斗鱼,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Cichlasoma+var.+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",建议单养,斗鱼有明显领地意识，同类或长鳍鱼混养容易追咬；新手更适合单独饲养或非常谨慎搭配底栖温和生物。,47,yes,no
sp_0056,菠萝鱼,Heros severus,慈鲷/斗鱼,aquapedia_master_v2.csv,0.92,no,no,,https://www.google.com/search?q=Heros+severus+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",建议单养,斗鱼有明显领地意识，同类或长鳍鱼混养容易追咬；新手更适合单独饲养或非常谨慎搭配底栖温和生物。,47,yes,no
sp_0057,珍珠虎,Altolamprologus calvus,海水鱼,aquapedia_master_v2.csv,0.92,no,no,,https://www.google.com/search?q=Altolamprologus+calvus+LiveAquaria+diet,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,海水生物需要稳定盐度和成熟系统；鱼、珊瑚、海葵之间存在捕食、蛰伤或领地风险，需要按珊瑚缸兼容性搭配。,66,yes,no
sp_0058,九间贝,Neolamprologus multifasciatus,海水鱼,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Neolamprologus+multifasciatus+LiveAquaria+diet,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,海水生物需要稳定盐度和成熟系统；鱼、珊瑚、海葵之间存在捕食、蛰伤或领地风险，需要按珊瑚缸兼容性搭配。,66,yes,no
sp_0059,天堂鱼,Macropodus opercularis,鱼类,aquapedia_master_v2.csv+rules+small_carnivore_fish_template,0.83,yes,yes,存在特殊喂养关键词,https://www.google.com/search?q=Macropodus+opercularis+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",建议单养,性情偏凶或捕食倾向明显，和温和小型鱼混养容易造成追咬、压迫或吞食。,23,yes,yes
sp_0060,巧克力曼龙,Sphaerichthys osphromenoides,鱼类,aquapedia_master_v2.csv+rules+category_feeding_template,0.82,yes,no,,https://www.google.com/search?q=Sphaerichthys+osphromenoides+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情相对温和，可与体型接近、水质需求相同的温和物种混养；仍需避免过密饲养和体型差异过大。,86,yes,yes
sp_0061,飞凤鱼,Semaprochilodus insignis,鱼类,rule_fallback,0.74,yes,yes,未匹配到物种专属喂养资料，当前仅提供类别通用参考,,,谨慎混养,体型较大，可能压迫或误食小型鱼虾；适合与体型接近、游层错开的温和鱼混养。,21,yes,yes
sp_0062,红眼灯,Moenkhausia sanctaefilomenae,灯科鱼,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Moenkhausia+sanctaefilomenae+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,有一定领地意识，混养时需要足够空间、躲避物，并避免与同体型同习性的鱼过密饲养。,57,yes,no
sp_0063,兰寿金鱼,Carassius auratus var. Ranchu,鱼类,aquapedia_master_v2.csv,0.92,no,no,,https://www.google.com/search?q=Carassius+auratus+var.+Ranchu+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情相对温和，可与体型接近、水质需求相同的温和物种混养；仍需避免过密饲养和体型差异过大。,86,yes,no
sp_0064,泰狮金鱼,Carassius auratus var. Oranda,鱼类,aquapedia_master_v2.csv,0.87,no,no,,https://www.google.com/search?q=Carassius+auratus+var.+Oranda+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",谨慎混养,体型较大，可能压迫或误食小型鱼虾；适合与体型接近、游层错开的温和鱼混养。,21,yes,no
sp_0065,蝶尾金鱼,Carassius auratus var.,鱼类,aquapedia_master_v2.csv+aquapedia_supplement,0.91,no,no,,https://www.google.com/search?q=Carassius+auratus+var.+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情相对温和，可与体型接近、水质需求相同的温和物种混养；仍需避免过密饲养和体型差异过大。,86,yes,no
sp_0066,鹤顶红金鱼,Carassius auratus var.,鱼类,aquapedia_master_v2.csv+aquapedia_supplement,0.91,no,no,,https://www.google.com/search?q=Carassius+auratus+var.+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情相对温和，可与体型接近、水质需求相同的温和物种混养；仍需避免过密饲养和体型差异过大。,86,yes,no
sp_0067,珠鳞金鱼,Carassius auratus var.,鱼类,aquapedia_master_v2.csv+aquapedia_supplement,0.91,no,no,,https://www.google.com/search?q=Carassius+auratus+var.+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情相对温和，可与体型接近、水质需求相同的温和物种混养；仍需避免过密饲养和体型差异过大。,86,yes,no
sp_0068,水泡金鱼,Carassius auratus var.,鱼类,aquapedia_master_v2.csv+aquapedia_supplement,0.91,no,no,,https://www.google.com/search?q=Carassius+auratus+var.+feeding+diet+aquarium,"Diet,Feeding_Type,Dietary_Needs,Feeding_Layer,Care_Guide",适合混养,性情相对温和，可与体型接近、水质需求相同的温和物种混养；仍需避免过密饲养和体型差异过大。,86,yes,no
